image_path,sha256,source,ocr_status,ocr_text,ocr_confidence,matched_terms,candidate_classes,ocr_bbox_count,candidate_reason,needs_annotation,annotation_status
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/4.jpg,43bd274bd7b896714ba056e367daf16479d474442b4e17d4255055fef2999b25,external_data,SUCCESS,,,,,9,,FALSE,NONE
external_data/openfoodfacts/raw/3017620425035_front.jpg,a1b9a908f90c4e5abad34853157068d55792e0b2e4767f7882418d44828cd108,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/openfoodfacts/raw/5449000000996_front.jpg,ac29a4e84a2373f638e5dc623d4d24fe2dc717a68aae4b53e8cba5c6a0d029b0,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/openfoodfacts/raw/6111242100992_front.jpg,b8b66aab7e60245c0688000162e174f6156aeb96a27d5b63ac4d1a446baaddfb,external_data,SUCCESS,,,,,4,,FALSE,NONE
external_data/openfoodfacts/raw/7613035833272_front.jpg,d6582f5d201d550f98700456aeeda4c70fa0c054912d4b05cc42ba2082c2bf7a,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/openfoodfacts/raw/8901063139329_front.jpg,4585a9a3d20a1301c00080016ab48b03d2f7911bbe2b9696e0741a54fe8a72c7,external_data,SUCCESS,,,,,11,,FALSE,NONE
external_data/openfoodfacts/raw/8901719134845_front.jpg,79895dbe06fa1c4575d670edf72e856d270eab7dc6fd76dfa213b3cc792367e9,external_data,SUCCESS,,,,,4,,FALSE,NONE
external_data/openfoodfacts/raw/8901719134852_front.jpg,7b91cb50c6f4df7e6843162be10b4a0ae8aa937f1af9b9a26171d0cafefac056,external_data,SUCCESS,,,,,7,,FALSE,NONE
external_data/openfoodfacts/raw/8902080000227_front.jpg,cec1953f07e831077c40f076d4ca20811864b93beae34ca2be2d72ef989beca2,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/openfoodfacts/raw/90162602_front.jpg,9ef0e8e32cf1ed9175b4d5bdac92f88b782c89e43679cc9c6b8720c45fdec031,external_data,SUCCESS,,,,,2,,FALSE,NONE
