priority,image_path,candidate_class,ocr_text,ocr_confidence,provisional_bbox,normalized_yolo,reason,review_status,source_repo,sha256
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/17.png,MRP,Every product has a story.ip to know ours.,0.9034,"[[135.0, 462.0], [302.0, 467.0], [301.0, 481.0], [135.0, 475.0]]","[0.437, 0.943, 0.334, 0.038]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,1b243a71b046c8fba48403d9d4ad22b81256c0f12b187366a8857913a7772c8f
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/19.png,NET_QUANTITY,NET WT.500g.,0.955,"[[343.0, 406.0], [396.0, 406.0], [396.0, 420.0], [343.0, 420.0]]","[0.739, 0.826, 0.106, 0.028]",Matched NET_QUANTITY regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,7d3a70ea93a4ec2b44833abaddc4439263881fdc3a01d464ff208183be53397b
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,MRP,diversified balanced diet. Consume along with fruits &m,0.9513,"[[753.0, 431.0], [1144.0, 431.0], [1144.0, 451.0], [753.0, 451.0]]","[0.6323333333333333, 0.2941961307538359, 0.26066666666666666, 0.0133422281521014]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,MRP,Totol Sugars (g),0.8961,"[[905.0, 534.0], [988.0, 536.0], [987.0, 553.0], [905.0, 551.0]]","[0.631, 0.36257505003335555, 0.05533333333333333, 0.012675116744496331]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,MRP,SugarSucroseg),0.9257,"[[910.0, 548.0], [1005.0, 550.0], [1004.0, 567.0], [909.0, 565.0]]","[0.638, 0.37191460973982654, 0.064, 0.012675116744496331]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,CONSUMER_CARE,NESTLE CONSUMER CARE,0.9629,"[[345.0, 600.0], [577.0, 600.0], [577.0, 631.0], [345.0, 631.0]]","[0.30733333333333335, 0.4106070713809206, 0.15466666666666667, 0.02068045363575717]",Matched CONSUMER_CARE regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,CONSUMER_CARE,WECARE@IN.NESTLE.COM,0.99,"[[336.0, 670.0], [575.0, 670.0], [575.0, 701.0], [336.0, 701.0]]","[0.30366666666666664, 0.4573048699132755, 0.15933333333333333, 0.02068045363575717]",Matched CONSUMER_CARE regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,MRP,M.R.P.INCL.OFALLTAXES),0.9325,"[[316.0, 818.0], [581.0, 817.0], [581.0, 848.0], [316.0, 849.0]]","[0.299, 0.5557038025350234, 0.17666666666666667, 0.02134756504336224]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,IMPORTER,Marketed ByNESTLE INDIA LIMITED,0.9211,"[[314.0, 1224.0], [492.0, 1224.0], [492.0, 1244.0], [314.0, 1244.0]]","[0.26866666666666666, 0.8232154769846565, 0.11866666666666667, 0.0133422281521014]",Matched IMPORTER regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,NET_QUANTITY,NET WEIGHT:,0.9551,"[[314.0, 1299.0], [462.0, 1299.0], [462.0, 1327.0], [314.0, 1327.0]]","[0.25866666666666666, 0.875917278185457, 0.09866666666666667, 0.018679119412941963]",Matched NET_QUANTITY regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660
